date,price
03/20/19,2827.985
03/21/19,2838.845
03/22/19,2823.315
03/25/19,2797.405
03/26/19,2816.93
03/27/19,2806.64
03/28/19,2809.24
03/29/19,2827.63
04/01/19,2859.015
04/02/19,2865.825
04/03/19,2875.21
04/04/19,2874.21
04/05/19,2888.115
04/08/19,2888.365
04/09/19,2880.105
04/10/19,2884.42
04/11/19,2887.705
04/12/19,2904.455
04/15/19,2903.04
04/16/19,2908.385
04/17/19,2906.725
04/18/19,2900.15
04/19/19,2900.15
04/22/19,2902.93
04/23/19,2922.42
04/24/19,2931.44
04/25/19,2922.97
04/26/19,2928.72
04/29/19,2944.435
04/30/19,2936.165
05/01/19,2938.745
05/02/19,2916.09
05/03/19,2938.53
05/06/19,2917.765
05/07/19,2887.815
05/08/19,2885.62
05/09/19,2856.185
05/10/19,2858.35
05/13/19,2820.81
05/14/19,2836.33
05/15/19,2836.88
05/16/19,2873.975
05/17/19,2869.855
05/20/19,2842.575
05/21/19,2861.45
05/22/19,2858.29
05/23/19,2821.095
05/24/19,2830.775
05/27/19,2830.775
05/28/19,2821.045
05/29/19,2779.045
05/30/19,2787.87
05/31/19,2759.75
06/03/19,2745.94
06/04/19,2783.565
06/05/19,2814.1
06/06/19,2837.275
06/07/19,2868.92
06/10/19,2895.14
06/11/19,2894.57
06/12/19,2881.625
06/13/19,2888.615
06/14/19,2887.035
06/17/19,2892.285
06/18/19,2918.115
06/19/19,2921.585
06/20/19,2944.78
06/21/19,2955.51
06/24/19,2949.485
06/25/19,2931.265
06/26/19,2922.79
06/27/19,2923.935
06/28/19,2936.515
07/01/19,2965.075
07/02/19,2964.565
07/03/19,2986.9
07/04/19,2986.9
07/05/19,2981
07/08/19,2975.425
07/09/19,2972.67
07/10/19,2993.8
07/11/19,2995.565
07/12/19,3007.895
07/15/19,3013.285
07/16/19,3008.085
07/17/19,2994.755
07/18/19,2985.685
07/19/19,2990.94
07/22/19,2983.68
07/23/19,2997.23
07/24/19,3008.205
07/25/19,3006.775
07/26/19,3020.285
07/29/19,3019.955
07/30/19,3009.065
07/31/19,2987.74
08/01/19,2979.41
08/02/19,2929.805
08/05/19,2860.095
08/06/19,2865.91
08/07/19,2858.94
08/08/19,2916.595
08/09/19,2917.95
08/12/19,2890.36
08/13/19,2910.18
08/14/19,2866.895
08/15/19,2841.09
08/16/19,2879.185
08/19/19,2922.24
08/20/19,2911.615
08/21/19,2923.32
08/22/19,2921.795
08/23/19,2880.99
08/26/19,2867.635
08/27/19,2879.69
08/28/19,2871.54
08/29/19,2918.085
08/30/19,2926.875
09/02/19,2926.875
09/03/19,2903.12
09/04/19,2930.35
09/05/19,2973.23
09/06/19,2978.77
09/09/19,2979.41
09/10/19,2968.2
09/11/19,2988.12
09/12/19,3010.83
09/13/19,3010.115
09/16/19,2996.43
09/17/19,2999.97
09/18/19,2993.2
09/19/19,3012.575
09/20/19,3000.525
09/23/19,2990.69
09/24/19,2982.855
09/25/19,2971.34
09/26/19,2975.495
09/27/19,2966.42
09/30/19,2975.46
10/01/19,2965.615
10/02/19,2899.855
10/03/19,2883.535
10/04/19,2936.15
10/07/19,2947.715
10/08/19,2909.065
10/09/19,2918.365
10/10/19,2932.79
10/11/19,2978.175
10/14/19,2967.89
10/15/19,2988.445
10/16/19,2991.37
10/17/19,3000.04
10/18/19,2988.155
10/21/19,3001.34
10/22/19,3004.805
10/23/19,2997.995
10/24/19,3008.245
10/25/19,3014.665
10/28/19,3038.1
10/29/19,3041.34
10/30/19,3038.03
10/31/19,3035.045
11/01/19,3058.835
11/04/19,3080.035
11/05/19,3078.05
11/06/19,3072.115
11/07/19,3089
11/08/19,3083.335
11/11/19,3082.075
11/12/19,3093.67
11/13/19,3088.43
11/14/19,3090.73
11/15/19,3112.53
11/18/19,3118.115
